colorway,bottomview,medialfrontright,brand_name,toeview,angledfront,shoe_link,shoe_name,angledheel
White/Black,https://media.journeys.com/images/products/1_476684_ZM_ALT5.JPG,https://media.journeys.com/images/products/1_476684_ZM_ALT1.JPG,GBX,https://media.journeys.com/images/products/1_476684_ZM_ALT4.JPG,https://media.journeys.com/images/products/1_476684_ZM.JPG,https://www.journeys.com/product/Mens-GBX-Boone-Casual-Shoe-White-Black-99809156?c=2446,Mens GBX Boone Casual Shoe,https://media.journeys.com/images/products/1_476684_ZM_ALT2.JPG
Black,https://media.journeys.com/images/products/1_476573_ZM_ALT5.JPG,https://media.journeys.com/images/products/1_476573_ZM_ALT1.JPG,GBX,https://media.journeys.com/images/products/1_476573_ZM_ALT4.JPG,https://media.journeys.com/images/products/1_476573_ZM.JPG,https://www.journeys.com/product/Mens-GBX-Gutt-Casual-Shoe-Black-99157692?c=2446,Mens GBX Gutt Casual Shoe,https://media.journeys.com/images/products/1_476573_ZM_ALT2.JPG
White,https://media.journeys.com/images/products/1_476672_ZM_ALT5.JPG,https://media.journeys.com/images/products/1_476672_ZM_ALT1.JPG,GBX,https://media.journeys.com/images/products/1_476672_ZM_ALT4.JPG,https://media.journeys.com/images/products/1_476672_ZM.JPG,https://www.journeys.com/product/Mens-GBX-Gutt-Casual-Shoe-White-99657692?c=2446,Mens GBX Gutt Casual Shoe,https://media.journeys.com/images/products/1_476672_ZM_ALT2.JPG
Tan,https://media.journeys.com/images/products/1_476660_ZM_ALT5.JPG,https://media.journeys.com/images/products/1_476660_ZM_ALT1.JPG,GBX,https://media.journeys.com/images/products/1_476660_ZM_ALT4.JPG,https://media.journeys.com/images/products/1_476660_ZM.JPG,https://www.journeys.com/product/Mens-GBX-Bran-Casual-Shoe-Tan-99609157?c=2446,Mens GBX Bran Casual Shoe,https://media.journeys.com/images/products/1_476660_ZM_ALT2.JPG
Navy,https://media.journeys.com/images/products/1_476696_ZM_ALT5.JPG,https://media.journeys.com/images/products/1_476696_ZM_ALT1.JPG,GBX,https://media.journeys.com/images/products/1_476696_ZM_ALT4.JPG,https://media.journeys.com/images/products/1_476696_ZM.JPG,https://www.journeys.com/product/Mens-GBX-Bran-Casual-Shoe-Navy-99809157?c=2446,Mens GBX Bran Casual Shoe,https://media.journeys.com/images/products/1_476696_ZM_ALT2.JPG
Black Monochrome,https://media.journeys.com/images/products/1_457441_ZM_ALT5.JPG,https://media.journeys.com/images/products/1_457441_ZM_ALT1.JPG,Reviews,https://media.journeys.com/images/products/1_457441_ZM_ALT4.JPG,https://media.journeys.com/images/products/1_457441_ZM.JPG,https://www.journeys.com/product/Mens-Lacoste-Lerond-Athletic-Shoe-Black-444103?c=2446,Mens Lacoste Lerond Athletic Shoe,https://media.journeys.com/images/products/1_457441_ZM_ALT2.JPG
Black,https://media.journeys.com/images/products/1_425916_ZM_ALT5.JPG,https://media.journeys.com/images/products/1_425916_ZM_ALT1.JPG,Reviews,https://media.journeys.com/images/products/1_425916_ZM_ALT4.JPG,https://media.journeys.com/images/products/1_425916_ZM.JPG,https://www.journeys.com/product/Mens-Lacoste-Bayliss-Vulc-PRM-Athletic-Shoe-Black-444087?c=2446,Mens Lacoste Bayliss Vulc PRM Athletic Shoe,https://media.journeys.com/images/products/1_425916_ZM_ALT2.JPG
Red,https://media.journeys.com/images/products/1_468761_ZM_ALT5.JPG,https://media.journeys.com/images/products/1_468761_ZM_ALT1.JPG,Dr.,https://media.journeys.com/images/products/1_468761_ZM_ALT4.JPG,https://media.journeys.com/images/products/1_468761_ZM.JPG,https://www.journeys.com/product/Dr-Martens-Pressler-Casual-Shoe-Red-21951600?c=2446,Dr. Martens Pressler Casual Shoe,https://media.journeys.com/images/products/1_468761_ZM_ALT2.JPG
Gray,https://media.journeys.com/images/products/1_421628_ZM_ALT5.JPG,https://media.journeys.com/images/products/1_421628_ZM_ALT1.JPG,Reviews,https://media.journeys.com/images/products/1_421628_ZM_ALT4.JPG,https://media.journeys.com/images/products/1_421628_ZM.JPG,https://www.journeys.com/product/Mens-Lacoste-Dreyfus-Casual-Shoe-Gray-444077?c=2446,Mens Lacoste Dreyfus Casual Shoe,https://media.journeys.com/images/products/1_421628_ZM_ALT2.JPG
Navy,https://media.journeys.com/images/products/1_421616_ZM_ALT5.JPG,https://media.journeys.com/images/products/1_421616_ZM_ALT1.JPG,Reviews,https://media.journeys.com/images/products/1_421616_ZM_ALT4.JPG,https://media.journeys.com/images/products/1_421616_ZM.JPG,https://www.journeys.com/product/Mens-Lacoste-Dreyfus-Casual-Shoe-Blue-444076?c=2446,Mens Lacoste Dreyfus Casual Shoe,https://media.journeys.com/images/products/1_421616_ZM_ALT2.JPG
