colorway,bottomview,lateralfrontright,brand_name,angledfront,shoe_name,angledheel
"black, club purple-tm orng-blk",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365879-nike-air-max-cb34-2015-release-black-club-purple-tm-orng-blk-042593_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365879-nike-air-max-cb34-2015-release-black-club-purple-tm-orng-blk-042593_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365879-nike-air-max-cb34-2015-release-black-club-purple-tm-orng-blk-042593_3.jpg,"air max cb34 ""2015 release""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365879-nike-air-max-cb34-2015-release-black-club-purple-tm-orng-blk-042593_4.jpg
"black, black-laser crimson",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-little-posite-pro-gs-yeezy-black-black-laser-crimson-042128_2.png,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-little-posite-pro-gs-yeezy-black-black-laser-crimson-042128_1.png,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-little-posite-pro-gs-yeezy-black-black-laser-crimson-042128_3.png,"little posite pro (gs) ""yeezy""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-little-posite-pro-gs-yeezy-black-black-laser-crimson-042128_4.png
"multi-color, multi-color",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365883-nike-kyrie-2-crossover-multi-color-multi-color-042595_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365883-nike-kyrie-2-crossover-multi-color-multi-color-042595_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365883-nike-kyrie-2-crossover-multi-color-multi-color-042595_3.jpg,"kyrie 2 ""crossover""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365883-nike-kyrie-2-crossover-multi-color-multi-color-042595_4.jpg
"challenge red, white-chillng red",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365883-nike-dunk-high-premium-sb-raw-meat-challenge-red-white-chillng-red-081331_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365883-nike-dunk-high-premium-sb-raw-meat-challenge-red-white-chillng-red-081331_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365883-nike-dunk-high-premium-sb-raw-meat-challenge-red-white-chillng-red-081331_3.jpg,"dunk high premium sb ""raw meat""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365883-nike-dunk-high-premium-sb-raw-meat-challenge-red-white-chillng-red-081331_4.jpg
"fresh water, wht-blck-vrsty rd",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63598496565-nike-air-griffey-max-1-2016-releases-fresh-water-wht-blck-vrsty-rd-060456_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63598496565-nike-air-griffey-max-1-2016-releases-fresh-water-wht-blck-vrsty-rd-060456_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63598496566-nike-air-griffey-max-1-2016-releases-fresh-water-wht-blck-vrsty-rd-060456_3.jpg,"air griffey max 1 ""2016 release""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63598496566-nike-air-griffey-max-1-2016-releases-fresh-water-wht-blck-vrsty-rd-060456_4.jpg
"cannon, volt-prpl vnm-trf orng",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-kobe-prelude-6-prelude-6-cannon-volt-prpl-vnm-trf-orng-042044_2.png,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-kobe-prelude-6-prelude-6-cannon-volt-prpl-vnm-trf-orng-042044_1.png,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-kobe-prelude-6-prelude-6-cannon-volt-prpl-vnm-trf-orng-042044_3.png,"kobe prelude 6 ""prelude 6""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-kobe-prelude-6-prelude-6-cannon-volt-prpl-vnm-trf-orng-042044_4.png
"unvrsty gold, mtllc gld-gmm bl",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/0/4/042038_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/0/4/042038_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/0/4/042038_3.jpg,"zoom kobe 5 prelude ""prelude 5""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/0/4/042038_4.jpg
"khaki, white-pine green",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365883-nike-dunk-low-premium-sb-starbucks-khaki-white-pine-green-081332_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365883-nike-dunk-low-premium-sb-starbucks-khaki-white-pine-green-081332_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365883-nike-dunk-low-premium-sb-starbucks-khaki-white-pine-green-081332_3.jpg,"dunk low premium sb ""starbucks""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600365883-nike-dunk-low-premium-sb-starbucks-khaki-white-pine-green-081332_4.jpg
"cool grey, metallic gold-black",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-zoom-kobe-7-sys-prelude-prelude-7-cool-grey-metallic-gold-black-042049_2.png,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-zoom-kobe-7-sys-prelude-prelude-7-cool-grey-metallic-gold-black-042049_1.png,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-zoom-kobe-7-sys-prelude-prelude-7-cool-grey-metallic-gold-black-042049_3.png,"zoom kobe 7 sys prelude ""prelude 7""",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/n/i/nike-zoom-kobe-7-sys-prelude-prelude-7-cool-grey-metallic-gold-black-042049_4.png
"university red, blk-brght crmsn",https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600407832-nike-lebron-13-elite-university-red-blk-brght-crmsn-042599_2.jpg,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600407832-nike-lebron-13-elite-university-red-blk-brght-crmsn-042599_1.jpg,nike,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600407832-nike-lebron-13-elite-university-red-blk-brght-crmsn-042599_3.jpg,lebron 13 elite,https://www.flightclub.com/media/catalog/product/cache/1/image/800x570/9df78eab33525d08d6e5fb8d27136e95/6/3/63600407832-nike-lebron-13-elite-university-red-blk-brght-crmsn-042599_4.jpg
